"Hospital","patient_count","unique_doctor_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","last_admission_date"
"Alexander, and Ewing Lopez",1,1,1,17672.30,17672.31,57.0,5,2020-10-20,2020-10-20
"Alexander, and Norris Williams",1,1,1,46475.60,46475.61,84.0,4,2023-03-22,2023-03-22
"Alexander, Baker Howell and",1,1,1,27182.70,27182.70,27.0,28,2021-06-13,2021-06-13
"Alexander, Morris and Hayes",1,1,1,33418.30,33418.31,62.0,8,2019-06-05,2019-06-05
"Alexander, Schneider and Wilson",1,1,1,5702.77,5702.77,46.0,6,2021-03-22,2021-03-22
Ali-Adams,1,1,1,48015.60,48015.58,46.0,11,2021-01-23,2021-01-23
Ali-Baird,1,1,1,13937.00,13936.98,44.0,5,2023-08-11,2023-08-11
Ali-Byrd,2,1,1,98768.40,49384.18,51.0,27,2023-09-28,2023-09-28
Ali-Harris,1,1,1,26999.40,26999.38,56.0,9,2020-07-09,2020-07-09
Ali-James,1,1,1,17716.60,17716.57,68.0,28,2023-03-10,2023-03-10
Ali-Marsh,2,1,1,21460.90,10730.44,25.5,28,2022-05-17,2022-05-17
Ali-Warren,1,1,1,37400.30,37400.33,40.0,28,2023-01-09,2023-01-09
"Ali and Chambers, Dawson",1,1,1,11508.80,11508.82,35.0,16,2020-07-11,2020-07-11
"Ali and Cox Johnson,",1,1,1,40115.20,40115.17,85.0,1,2022-12-30,2022-12-30
Ali and Sons,1,1,1,3973.15,3973.15,77.0,6,2023-02-15,2023-02-15
"Ali and Vargas Montes,",1,1,1,27852.70,27852.70,47.0,10,2020-02-10,2020-02-10
"Ali Fischer and Howe,",1,1,1,37643.60,37643.65,67.0,13,2022-09-20,2022-09-20
Ali Group,1,1,1,19720.00,19720.04,49.0,1,2019-11-29,2019-11-29
Ali PLC,1,1,1,28903.40,28903.44,79.0,29,2022-08-09,2022-08-09
Ali Sons and,1,1,1,19008.80,19008.85,64.0,5,2024-04-17,2024-04-17
"Ali, Cooper Gilbert and",1,1,1,24297.30,24297.27,63.0,21,2021-12-15,2021-12-15
Allen-Allen,1,1,1,32.63,32.63,22.0,16,2022-04-09,2022-04-09
Allen-Anderson,1,1,1,37852.00,37851.99,68.0,6,2021-05-09,2021-05-09
Allen-Austin,1,1,1,16253.40,16253.36,75.0,6,2023-04-28,2023-04-28
Allen-Baker,2,2,2,33863.00,16931.51,52.0,12,2019-07-18,2021-04-18
Allen-Bond,1,1,1,4676.29,4676.29,23.0,13,2023-06-11,2023-06-11
Allen-Brown,2,2,2,24556.80,12278.38,74.5,12,2023-05-16,2024-01-01
Allen-Byrd,1,1,1,7980.41,7980.41,48.0,21,2022-07-02,2022-07-02
Allen-Campbell,1,1,1,47863.00,47863.02,77.0,7,2020-08-28,2020-08-28
Allen-Cherry,1,1,1,11624.30,11624.31,81.0,26,2020-02-07,2020-02-07
Allen-Cooke,1,1,1,9949.01,9949.01,69.0,7,2022-03-01,2022-03-01
Allen-Copeland,1,1,1,11416.30,11416.34,46.0,24,2020-09-20,2020-09-20
Allen-Cowan,1,1,1,41859.30,41859.31,18.0,6,2023-04-27,2023-04-27
Allen-Crawford,1,1,1,28065.60,28065.61,49.0,26,2019-10-24,2019-10-24
Allen-Cunningham,1,1,1,42499.50,42499.47,77.0,30,2021-05-19,2021-05-19
Allen-Davenport,1,1,1,12473.50,12473.49,28.0,29,2021-01-16,2021-01-16
Allen-Deleon,1,1,1,19013.70,19013.67,45.0,26,2020-09-19,2020-09-19
Allen-Duran,1,1,1,24712.60,24712.64,78.0,20,2022-12-07,2022-12-07
Allen-Evans,1,1,1,46853.60,46853.55,77.0,2,2023-04-08,2023-04-08
Allen-Ferguson,1,1,1,9818.96,9818.96,65.0,11,2023-08-27,2023-08-27
Allen-Fisher,2,2,2,59761.60,29880.81,56.0,6,2020-05-10,2020-12-14
Allen-Ford,1,1,1,4478.27,4478.27,20.0,16,2019-06-07,2019-06-07
Allen-Foster,1,1,1,17311.70,17311.65,22.0,4,2019-06-07,2019-06-07
Allen-French,1,1,1,30351.10,30351.12,84.0,10,2019-08-23,2019-08-23
Allen-Garcia,1,1,1,34771.40,34771.42,78.0,8,2023-01-13,2023-01-13
Allen-Gomez,1,1,1,47988.10,47988.08,31.0,29,2024-02-13,2024-02-13
Allen-Gray,2,1,1,100378.00,50189.23,64.0,3,2021-11-14,2021-11-14
Allen-Hall,2,2,2,32504.00,16252.00,46.0,22,2019-07-15,2020-08-24
Allen-Hernandez,1,1,1,48761.20,48761.17,48.0,23,2021-12-11,2021-12-11
Allen-Hill,1,1,1,16731.40,16731.42,46.0,7,2020-10-30,2020-10-30
Allen-Hoffman,1,1,1,30672.80,30672.80,46.0,10,2023-09-07,2023-09-07
Allen-Holland,2,1,1,77964.70,38982.35,45.0,4,2019-05-13,2019-05-13
Allen-Horn,1,1,1,9831.11,9831.11,54.0,9,2021-12-06,2021-12-06
Allen-Horne,1,1,1,32066.20,32066.24,66.0,17,2019-11-13,2019-11-13
Allen-Howell,1,1,1,4346.00,4346.00,75.0,30,2019-09-23,2019-09-23
Allen-James,1,1,1,1831.71,1831.71,32.0,25,2022-01-19,2022-01-19
Allen-Johnson,4,4,3,93185.90,23296.49,46.8,19,2021-06-15,2022-12-24
Allen-Jones,1,1,1,29627.90,29627.89,64.0,28,2022-07-07,2022-07-07
Allen-Leon,1,1,1,36258.20,36258.22,55.0,28,2023-05-17,2023-05-17
Allen-Lowery,1,1,1,43439.30,43439.29,32.0,26,2019-07-20,2019-07-20
Allen-Lynch,1,1,1,23511.70,23511.67,52.0,14,2022-09-12,2022-09-12
Allen-Marshall,1,1,1,1593.27,1593.27,37.0,13,2020-02-14,2020-02-14
Allen-Mcguire,1,1,1,20855.90,20855.90,40.0,4,2022-11-23,2022-11-23
Allen-Mckee,1,1,1,1419.36,1419.36,53.0,1,2023-01-16,2023-01-16
Allen-Moore,2,1,1,57360.80,28680.41,29.5,15,2021-06-19,2021-06-19
Allen-Morales,1,1,1,1144.38,1144.38,18.0,27,2023-11-04,2023-11-04
Allen-Mueller,2,1,1,80780.00,40390.00,26.5,11,2023-02-13,2023-02-13
Allen-Newton,1,1,1,1210.08,1210.08,53.0,2,2020-04-30,2020-04-30
Allen-Nguyen,1,1,1,32923.70,32923.69,80.0,7,2020-08-29,2020-08-29
Allen-Ortiz,1,1,1,12239.50,12239.54,80.0,24,2020-12-08,2020-12-08
Allen-Parrish,1,1,1,23569.40,23569.42,71.0,6,2020-09-03,2020-09-03
Allen-Perez,2,2,2,52746.60,26373.32,26.5,6,2021-11-06,2023-03-11
Allen-Powers,1,1,1,25939.70,25939.74,31.0,22,2022-09-14,2022-09-14
Allen-Price,2,2,2,61000.30,30500.14,22.5,28,2019-10-13,2023-08-29
Allen-Ramos,1,1,1,3945.24,3945.24,70.0,19,2023-11-24,2023-11-24
Allen-Rice,1,1,1,26718.30,26718.27,22.0,30,2020-03-03,2020-03-03
Allen-Rich,1,1,1,39960.50,39960.48,82.0,8,2019-07-29,2019-07-29
Allen-Robertson,1,1,1,8531.69,8531.69,44.0,24,2024-04-23,2024-04-23
Allen-Rodriguez,1,1,1,30002.30,30002.31,33.0,30,2023-05-30,2023-05-30
Allen-Russell,1,1,1,745.29,745.29,26.0,17,2021-04-26,2021-04-26
Allen-Sawyer,1,1,1,3468.95,3468.95,51.0,23,2023-04-06,2023-04-06
Allen-Scott,2,2,2,53552.60,26776.28,74.5,20,2020-02-19,2024-03-13
Allen-Smith,2,2,2,7837.84,3918.92,75.0,22,2019-07-18,2022-07-03
Allen-Spence,1,1,1,46320.10,46320.14,52.0,21,2020-03-23,2020-03-23
Allen-Spencer,1,1,1,10256.50,10256.48,48.0,4,2020-06-19,2020-06-19
Allen-Sullivan,1,1,1,14406.30,14406.33,19.0,8,2021-09-16,2021-09-16
Allen-Taylor,1,1,1,10574.80,10574.76,34.0,4,2021-05-03,2021-05-03
Allen-Torres,1,1,1,36480.60,36480.59,24.0,9,2021-05-07,2021-05-07
Allen-Tucker,1,1,1,42596.80,42596.80,70.0,24,2020-11-27,2020-11-27
Allen-Tyler,1,1,1,16971.20,16971.18,28.0,27,2023-01-26,2023-01-26
Allen-Wallace,1,1,1,586.55,586.55,59.0,6,2021-05-15,2021-05-15
Allen-Walsh,2,1,1,65573.60,32786.82,74.0,16,2021-04-17,2021-04-17
Allen-Wilson,1,1,1,38052.10,38052.13,79.0,23,2022-02-05,2022-02-05
Allen-Wood,1,1,1,31488.00,31488.03,69.0,20,2022-12-26,2022-12-26
"Allen and Bell, Bell",1,1,1,15894.60,15894.56,69.0,16,2020-08-26,2020-08-26
"Allen and Blackwell Morgan,",1,1,1,11689.50,11689.47,72.0,13,2021-07-11,2021-07-11
"Allen and Decker, Gonzales",1,1,1,13080.30,13080.33,64.0,9,2022-03-11,2022-03-11
"Allen and Duncan Wright,",1,1,1,32531.00,32530.97,25.0,1,2024-03-12,2024-03-12
"Allen and Gray, Scott",1,1,1,7860.76,7860.76,44.0,23,2023-06-13,2023-06-13
"Allen and Ho Wheeler,",1,1,1,35700.70,35700.69,51.0,10,2022-02-16,2022-02-16
"Allen and Hodge Williams,",1,1,1,49225.90,49225.85,76.0,26,2021-04-28,2021-04-28
"Allen and Holmes Schmidt,",1,1,1,46445.00,46444.96,50.0,29,2022-02-12,2022-02-12
"Allen and Holt, Ford",1,1,1,11138.90,11138.86,42.0,15,2021-10-01,2021-10-01
"Allen and Kelly Garrett,",1,1,1,38072.70,38072.72,59.0,25,2020-05-11,2020-05-11
"Allen and Moore Holmes,",1,1,1,38385.70,38385.73,62.0,3,2022-02-09,2022-02-09
"Allen and Page Graves,",1,1,1,14911.50,14911.49,39.0,7,2022-11-01,2022-11-01
"Allen and Smith Tran,",1,1,1,33969.20,33969.18,72.0,9,2020-08-16,2020-08-16
Allen and Sons,3,2,2,81338.60,27112.86,62.7,20,2023-11-26,2024-02-16
"Allen and Taylor, Matthews",1,1,1,8088.27,8088.27,80.0,30,2022-01-25,2022-01-25
"Allen and Valdez, Cantrell",1,1,1,3937.45,3937.45,55.0,10,2020-10-02,2020-10-02
"Allen and Warren Johnson,",1,1,1,17432.60,17432.58,83.0,14,2023-11-27,2023-11-27
"Allen and Wilson Rollins,",1,1,1,48564.90,48564.86,70.0,27,2022-01-16,2022-01-16
"Allen Baker, Ross and",2,1,1,75603.80,37801.89,41.0,7,2020-08-17,2020-08-17
"Allen Black, and Collins",1,1,1,39325.20,39325.20,64.0,14,2019-10-25,2019-10-25
"Allen Campbell, and Hurst",1,1,1,1583.38,1583.38,56.0,2,2023-05-31,2023-05-31
"Allen Carney and Heath,",1,1,1,28848.30,28848.27,42.0,22,2022-08-31,2022-08-31
"Allen Castro and Hill,",1,1,1,30204.00,30204.03,37.0,5,2021-09-18,2021-09-18
"Allen Davis Todd, and",2,1,1,48202.40,24101.20,33.5,1,2021-03-16,2021-03-16
"Allen Decker Taylor, and",1,1,1,42030.00,42029.96,62.0,16,2020-03-14,2020-03-14
"Allen Garcia and Wolf,",1,1,1,25702.30,25702.30,28.0,30,2024-04-25,2024-04-25
"Allen Garcia, Johnson and",1,1,1,9728.73,9728.73,44.0,1,2023-06-04,2023-06-04
"Allen Gonzales and Hill,",1,1,1,45086.90,45086.93,21.0,4,2020-04-22,2020-04-22
Allen Group,10,9,4,296413.00,29641.29,51.0,16,2019-08-04,2024-03-31
"Allen Harrington Grant, and",1,1,1,22054.00,22053.98,54.0,23,2019-12-20,2019-12-20
"Allen Hurst, Gonzalez and",1,1,1,6640.90,6640.90,41.0,19,2020-07-25,2020-07-25
Allen Inc,8,6,4,207939.00,25992.33,55.1,18,2019-06-09,2021-11-07
"Allen Johnson, Meyers and",1,1,1,38891.30,38891.29,25.0,17,2019-09-19,2019-09-19
Allen LLC,6,6,4,75101.80,12516.97,53.0,11,2020-09-30,2023-09-18
Allen Ltd,8,7,5,222594.00,27824.28,65.4,17,2020-07-26,2023-11-10
"Allen Orr, and Frye",1,1,1,27475.60,27475.62,54.0,28,2020-05-03,2020-05-03
"Allen Parker and Estes,",1,1,1,12448.70,12448.69,45.0,7,2023-06-12,2023-06-12
"Allen Payne, Hamilton and",1,1,1,7555.25,7555.25,50.0,9,2023-06-23,2023-06-23
"Allen Pearson and Kaiser,",1,1,1,31478.80,31478.82,52.0,27,2023-05-24,2023-05-24
"Allen Pitts, Bryan and",1,1,1,44175.70,44175.66,40.0,11,2020-02-07,2020-02-07
Allen PLC,9,8,4,201400.00,22377.78,54.4,16,2019-11-07,2024-05-02
"Allen Rodriguez, and Stewart",2,1,1,46180.70,23090.35,66.0,28,2022-08-23,2022-08-23
Allen Sons and,1,1,1,39697.60,39697.64,68.0,8,2022-07-04,2022-07-04
"Allen Sparks and Soto,",1,1,1,30406.90,30406.92,66.0,21,2023-12-12,2023-12-12
"Allen Stanley, Woods and",1,1,1,10994.10,10994.08,51.0,12,2021-02-12,2021-02-12
"Allen Thompson, and Mcdonald",1,1,1,49749.70,49749.74,72.0,13,2021-11-12,2021-11-12
"Allen Watson and Robinson,",1,1,1,18144.50,18144.51,64.0,1,2022-12-25,2022-12-25
"Allen Watson Nguyen, and",2,1,1,35923.40,17961.68,73.5,8,2019-07-17,2019-07-17
"Allen, and Barnes Smith",1,1,1,42951.20,42951.17,73.0,7,2019-12-19,2019-12-19
"Allen, and Blackwell Taylor",2,1,1,55463.00,27731.52,59.0,1,2023-03-22,2023-03-22
"Allen, and Fischer Richardson",1,1,1,16232.00,16231.99,35.0,11,2022-09-06,2022-09-06
"Allen, and Jackson Harrell",1,1,1,7773.54,7773.54,43.0,9,2020-11-04,2020-11-04
"Allen, and Jensen Hurley",1,1,1,38867.00,38867.03,28.0,17,2019-10-05,2019-10-05
"Allen, and Parker Lynch",1,1,1,17078.00,17077.98,82.0,3,2019-09-21,2019-09-21
"Allen, and Rodriguez Randolph",1,1,1,45226.40,45226.36,32.0,29,2020-03-23,2020-03-23
"Allen, and Velasquez Wilcox",1,1,1,10986.80,10986.84,50.0,18,2023-09-28,2023-09-28
"Allen, Cantu Orozco and",1,1,1,39835.70,39835.73,30.0,6,2020-04-03,2020-04-03
"Allen, Chaney Rice and",1,1,1,24874.80,24874.75,46.0,12,2021-11-24,2021-11-24
"Allen, Cross and Collins",2,1,1,79383.20,39691.60,63.5,14,2022-09-19,2022-09-19
"Allen, Davies and Mcintyre",1,1,1,34613.00,34613.00,75.0,15,2019-07-03,2019-07-03
"Allen, Frank Moore and",1,1,1,34093.40,34093.45,53.0,5,2020-02-24,2020-02-24
"Allen, Harrell Schmidt and",1,1,1,21085.70,21085.73,82.0,13,2024-01-31,2024-01-31
"Allen, Jackson and Brown",1,1,1,44860.00,44859.99,28.0,21,2024-01-06,2024-01-06
"Allen, Jackson and Walker",1,1,1,14310.10,14310.08,48.0,28,2019-10-17,2019-10-17
"Allen, Jenkins Mcknight and",1,1,1,4909.02,4909.02,37.0,23,2022-04-27,2022-04-27
"Allen, Johns and Holland",1,1,1,19210.00,19210.03,57.0,28,2024-03-14,2024-03-14
"Allen, Johnson and Cooper",1,1,1,6242.87,6242.87,26.0,23,2021-06-10,2021-06-10
"Allen, Miller and Reed",1,1,1,28090.00,28090.03,74.0,1,2021-09-06,2021-09-06
"Allen, Quinn Mitchell and",1,1,1,4360.80,4360.80,49.0,2,2019-05-08,2019-05-08
"Allen, Turner and Allen",1,1,1,15023.30,15023.33,77.0,9,2019-07-04,2019-07-04
"Allen, Wall and Wade",1,1,1,2541.14,2541.14,22.0,3,2022-11-08,2022-11-08
"Allen, Williams and Phillips",1,1,1,26612.00,26612.01,36.0,2,2022-10-12,2022-10-12
Allison-Bailey,1,1,1,34492.30,34492.31,60.0,2,2020-05-22,2020-05-22
Allison-Black,1,1,1,39778.60,39778.59,19.0,4,2020-11-22,2020-11-22
Allison-Cameron,1,1,1,38578.50,38578.54,30.0,5,2021-10-05,2021-10-05
Allison-Moore,1,1,1,35149.40,35149.38,47.0,8,2023-10-14,2023-10-14
Allison-Walters,1,1,1,15048.80,15048.83,77.0,12,2020-05-24,2020-05-24
Allison-Williams,1,1,1,33653.60,33653.65,60.0,28,2022-09-09,2022-09-09
Allison LLC,2,2,2,67807.70,33903.86,46.5,15,2023-06-22,2023-10-13
Allison Ltd,3,3,2,112797.00,37599.10,51.0,25,2019-07-04,2021-10-03
Allison PLC,1,1,1,15593.00,15593.00,63.0,14,2022-12-27,2022-12-27
"Allison Price Williams, and",1,1,1,49795.40,49795.37,57.0,16,2021-06-27,2021-06-27
"Allison Rodgers Sullivan, and",1,1,1,957.45,957.45,63.0,25,2023-07-16,2023-07-16
"Allison Strong and Nixon,",1,1,1,4812.02,4812.02,19.0,18,2020-09-09,2020-09-09
"Allison, and Cruz Moore",1,1,1,35576.60,35576.59,45.0,5,2022-04-24,2022-04-24
Alvarado-Allen,1,1,1,44921.30,44921.34,25.0,18,2022-01-14,2022-01-14
Alvarado-Bradley,1,1,1,44947.10,44947.06,38.0,10,2022-10-03,2022-10-03
Alvarado-Carroll,1,1,1,10142.30,10142.31,23.0,26,2022-05-09,2022-05-09
Alvarado-Deleon,1,1,1,27385.70,27385.74,59.0,4,2019-09-11,2019-09-11
Alvarado-Delgado,1,1,1,40686.90,40686.91,44.0,15,2020-02-04,2020-02-04
Alvarado-Elliott,1,1,1,8415.98,8415.98,76.0,3,2023-01-03,2023-01-03
Alvarado-Gonzalez,1,1,1,3194.77,3194.77,28.0,17,2021-02-08,2021-02-08
Alvarado-Lopez,1,1,1,4762.56,4762.56,41.0,1,2023-07-02,2023-07-02
Alvarado-Martin,1,1,1,1077.17,1077.17,85.0,24,2021-12-06,2021-12-06
Alvarado-Meza,1,1,1,34732.30,34732.28,67.0,22,2024-02-04,2024-02-04
Alvarado-Prince,1,1,1,27277.20,27277.20,22.0,2,2024-04-13,2024-04-13
Alvarado-Scott,1,1,1,6742.94,6742.94,32.0,15,2020-03-06,2020-03-06
Alvarado-Smith,1,1,1,41817.30,41817.31,61.0,6,2021-06-27,2021-06-27
"Alvarado and Myers Smith,",1,1,1,17138.90,17138.94,83.0,6,2020-04-09,2020-04-09
Alvarado Inc,3,3,2,77299.70,25766.57,34.7,15,2020-11-26,2023-02-01
Alvarado LLC,5,5,3,156719.00,31343.89,37.0,18,2019-07-13,2023-04-13
"Alvarado Mcmahon and Guerra,",1,1,1,4955.96,4955.96,47.0,6,2020-03-17,2020-03-17
Alvarado PLC,3,3,2,92626.50,30875.49,60.3,9,2020-05-12,2023-05-03
"Alvarado Richard and Brown,",1,1,1,14949.40,14949.39,24.0,25,2021-05-23,2021-05-23
"Alvarado Sullivan Miller, and",1,1,1,33378.60,33378.64,81.0,17,2022-05-18,2022-05-18
Alvarez-Blair,1,1,1,6972.57,6972.57,35.0,7,2022-07-11,2022-07-11
Alvarez-Chavez,1,1,1,8498.36,8498.36,55.0,23,2022-02-28,2022-02-28
Alvarez-Craig,1,1,1,51293.40,51293.41,28.0,9,2021-01-31,2021-01-31
Alvarez-Cruz,1,1,1,42956.10,42956.13,79.0,13,2020-02-08,2020-02-08
Alvarez-Flynn,1,1,1,39123.40,39123.35,68.0,9,2021-06-24,2021-06-24
Alvarez-Griffith,1,1,1,8805.04,8805.04,70.0,17,2021-12-10,2021-12-10
Alvarez-Guerrero,2,1,1,66444.20,33222.09,80.5,13,2023-12-20,2023-12-20
Alvarez-Harris,1,1,1,35318.70,35318.70,70.0,4,2022-02-13,2022-02-13
Alvarez-Hays,1,1,1,8066.74,8066.74,37.0,3,2020-11-04,2020-11-04
Alvarez-Henry,1,1,1,7612.78,7612.78,26.0,11,2021-05-24,2021-05-24
Alvarez-Martin,1,1,1,19055.10,19055.09,18.0,11,2023-08-12,2023-08-12
Alvarez-Mathews,1,1,1,13146.10,13146.07,81.0,23,2021-02-12,2021-02-12
Alvarez-Miranda,1,1,1,18948.70,18948.66,85.0,17,2023-09-24,2023-09-24
Alvarez-Nunez,1,1,1,32209.00,32208.96,80.0,15,2023-02-15,2023-02-15
Alvarez-Olson,1,1,1,13022.70,13022.69,78.0,11,2019-06-14,2019-06-14
Alvarez-Payne,1,1,1,38992.30,38992.27,58.0,9,2020-06-30,2020-06-30
Alvarez-Perry,1,1,1,30035.00,30035.02,40.0,1,2021-01-06,2021-01-06
Alvarez-Quinn,1,1,1,9205.77,9205.77,26.0,9,2023-03-23,2023-03-23
Alvarez-Robinson,1,1,1,33055.70,33055.74,32.0,28,2023-05-09,2023-05-09
Alvarez-Rogers,1,1,1,46403.10,46403.07,23.0,16,2021-04-16,2021-04-16
Alvarez-Shelton,1,1,1,47945.50,47945.54,49.0,2,2020-11-17,2020-11-17
Alvarez-Smith,5,4,3,125521.00,25104.22,57.0,9,2020-06-01,2022-12-28
Alvarez-Valentine,1,1,1,27106.00,27106.00,54.0,22,2021-05-27,2021-05-27
Alvarez-Vargas,2,1,1,97829.30,48914.64,42.5,16,2019-12-30,2019-12-30
Alvarez-Young,1,1,1,8213.78,8213.78,53.0,27,2019-06-11,2019-06-11
Alvarez-Zamora,1,1,1,17938.90,17938.89,75.0,22,2020-07-10,2020-07-10
"Alvarez and James, Mcintosh",1,1,1,36345.60,36345.63,48.0,6,2020-11-18,2020-11-18
"Alvarez and Mullins, Barajas",1,1,1,6116.05,6116.05,70.0,5,2022-06-12,2022-06-12
"Alvarez and Sanchez Taylor,",1,1,1,43664.10,43664.11,55.0,18,2023-06-01,2023-06-01
"Alvarez and York Rocha,",1,1,1,14366.80,14366.76,67.0,27,2020-07-16,2020-07-16
"Alvarez Austin Snyder, and",1,1,1,21513.50,21513.53,74.0,26,2019-09-15,2019-09-15
"Alvarez Clark, and Francis",1,1,1,29586.00,29585.99,53.0,11,2024-03-03,2024-03-03
"Alvarez Garcia, and Watkins",1,1,1,39214.30,39214.32,23.0,3,2019-11-23,2019-11-23
Alvarez Group,2,2,2,48207.10,24103.57,34.0,22,2019-08-24,2023-01-26
"Alvarez Hayes Guzman, and",1,1,1,7221.30,7221.30,52.0,17,2022-02-18,2022-02-18
Alvarez Inc,1,1,1,45577.60,45577.57,32.0,10,2021-01-01,2021-01-01
Alvarez LLC,2,1,1,61653.00,30826.49,68.5,8,2020-08-23,2020-08-23
Alvarez Ltd,8,6,3,288299.00,36037.32,67.6,15,2019-05-12,2022-02-28
"Alvarez Maldonado, and Oconnor",1,1,1,44408.90,44408.95,49.0,17,2022-05-26,2022-05-26
"Alvarez Moss Smith, and",2,1,1,70526.80,35263.41,67.5,30,2020-06-06,2020-06-06
Alvarez PLC,2,2,1,59976.70,29988.35,46.0,14,2019-06-06,2023-05-21
Alvarez Sons and,1,1,1,36378.30,36378.26,36.0,10,2022-04-12,2022-04-12
"Alvarez Wilson and Fry,",2,1,1,34318.80,17159.42,65.5,2,2023-08-08,2023-08-08
"Alvarez, and Lewis Jennings",1,1,1,9298.59,9298.59,67.0,2,2019-10-14,2019-10-14
"Alvarez, Rogers and Kennedy",1,1,1,37845.40,37845.38,84.0,16,2022-05-23,2022-05-23
"Alvarez, Ross and Hurst",1,1,1,34858.40,34858.40,26.0,30,2022-06-06,2022-06-06
"Alvarez, Vasquez and Price",1,1,1,17200.40,17200.39,74.0,7,2020-09-25,2020-09-25
"and Abbott Campbell Palmer,",1,1,1,171.90,171.90,28.0,21,2023-03-03,2023-03-03
"and Abbott Gross, Anderson",1,1,1,9892.25,9892.25,64.0,26,2019-07-26,2019-07-26
"and Acevedo, James Ho",1,1,1,25428.30,25428.30,85.0,1,2020-03-11,2020-03-11
"and Acosta, George Silva",1,1,1,27583.90,27583.87,84.0,22,2019-12-22,2019-12-22
"and Adams Bautista, Roberts",2,1,1,77367.70,38683.85,40.5,9,2022-02-24,2022-02-24
"and Adams Brown, Fuller",1,1,1,11235.20,11235.25,29.0,16,2020-01-07,2020-01-07
"and Adams Brown, Love",1,1,1,45137.00,45136.98,57.0,19,2020-05-13,2020-05-13
"and Adams Chavez Camacho,",1,1,1,5031.08,5031.08,35.0,4,2022-10-28,2022-10-28
"and Adams Cole, Payne",1,1,1,48016.30,48016.34,19.0,25,2019-06-12,2019-06-12
"and Adams Figueroa, Edwards",1,1,1,10233.20,10233.22,72.0,24,2023-10-06,2023-10-06
"and Adams Hunt Bennett,",1,1,1,41157.20,41157.18,49.0,22,2023-01-12,2023-01-12
"and Adams Martin, Sosa",1,1,1,28569.30,28569.29,21.0,17,2022-11-02,2022-11-02
"and Adams Martin, Thomas",1,1,1,22654.80,22654.84,81.0,15,2022-09-25,2022-09-25
"and Adams Morgan Livingston,",1,1,1,16560.50,16560.50,69.0,2,2024-03-20,2024-03-20
"and Adams Orr Jones,",1,1,1,41703.90,41703.87,77.0,25,2022-03-31,2022-03-31
"and Adams Reilly, Taylor",1,1,1,22133.60,22133.58,68.0,19,2021-06-06,2021-06-06
"and Adams Rodriguez Hill,",2,1,1,58283.50,29141.76,30.0,24,2020-09-28,2020-09-28
"and Adams Russo, Sexton",1,1,1,17631.80,17631.81,31.0,11,2023-10-27,2023-10-27
and Adams Sons,3,3,3,72811.80,24270.58,43.7,11,2022-11-18,2023-12-12
"and Adams Walls Knight,",1,1,1,11717.10,11717.07,77.0,8,2023-05-04,2023-05-04
"and Adams, Black Villegas",1,1,1,16631.90,16631.91,59.0,24,2019-07-16,2019-07-16
"and Adams, Booker Buckley",1,1,1,27604.70,27604.74,23.0,16,2023-01-09,2023-01-09
"and Adams, Evans Hill",1,1,1,8702.18,8702.18,72.0,16,2022-08-06,2022-08-06
"and Adams, Graham Higgins",1,1,1,3703.37,3703.37,42.0,20,2022-10-13,2022-10-13
"and Adams, Harris Kennedy",1,1,1,27498.00,27498.03,56.0,10,2023-08-24,2023-08-24
"and Adams, Johns Duncan",1,1,1,25806.30,25806.34,60.0,7,2020-04-15,2020-04-15
"and Adams, Johnston Brock",1,1,1,29314.00,29313.98,59.0,4,2021-01-13,2021-01-13
"and Adams, Martin Franklin",1,1,1,4760.29,4760.29,84.0,22,2021-09-04,2021-09-04
"and Adams, Patton Carter",1,1,1,43656.60,43656.57,67.0,15,2020-01-17,2020-01-17
"and Adams, Perry Fitzpatrick",2,1,1,53759.20,26879.59,66.5,4,2019-08-22,2019-08-22
"and Adams, Smith Gonzalez",1,1,1,26036.30,26036.30,45.0,25,2021-03-21,2021-03-21
"and Adkins Bolton Manning,",1,1,1,48639.10,48639.10,20.0,27,2020-09-27,2020-09-27
"and Adkins Porter, Benton",1,1,1,42764.80,42764.84,38.0,6,2024-04-16,2024-04-16
"and Adkins Woods, Lowery",1,1,1,23441.10,23441.08,20.0,25,2020-04-26,2020-04-26
"and Aguilar Carney, Cohen",1,1,1,40685.20,40685.18,73.0,30,2022-06-23,2022-06-23
and Aguilar Sons,3,2,2,92686.80,30895.61,27.7,18,2021-02-22,2021-04-22
"and Aguirre Smith Williams,",1,1,1,46024.80,46024.80,79.0,7,2020-11-16,2020-11-16
and Aguirre Sons,1,1,1,17949.80,17949.80,68.0,4,2022-07-03,2022-07-03
"and Alexander Crawford Graham,",1,1,1,27507.00,27507.04,36.0,10,2021-07-21,2021-07-21
"and Alexander Espinoza Stone,",1,1,1,5953.11,5953.11,76.0,28,2021-01-09,2021-01-09
"and Alexander Ferguson Munoz,",1,1,1,9080.71,9080.71,78.0,11,2021-09-08,2021-09-08
"and Alexander Hall Powers,",1,1,1,19762.00,19761.97,68.0,1,2020-11-29,2020-11-29
"and Alexander Hanson Johnson,",1,1,1,33220.60,33220.63,77.0,25,2022-12-09,2022-12-09
"and Alexander Hunter, Thompson",1,1,1,22709.90,22709.86,84.0,9,2023-10-14,2023-10-14
"and Alexander Knight Smith,",1,1,1,40495.10,40495.08,38.0,15,2023-07-04,2023-07-04
