"Hospital","Medical Condition","patient_count","average_patient_age","total_billing_amount","average_billing_amount","average_length_of_stay"
"Allen and Bell, Bell",Asthma,1,69,15894.60,15894.56,16
"Allen and Blackwell Morgan,",Obesity,1,72,11689.50,11689.47,13
"Allen and Decker, Gonzales",Cancer,1,64,13080.30,13080.33,9
"Allen and Duncan Wright,",Obesity,1,25,32531.00,32530.97,1
"Allen and Gray, Scott",Cancer,1,44,7860.76,7860.76,23
"Allen and Ho Wheeler,",Obesity,1,51,35700.70,35700.69,10
"Allen and Hodge Williams,",Diabetes,1,76,49225.90,49225.85,26
"Allen and Holmes Schmidt,",Cancer,1,50,46445.00,46444.96,29
"Allen and Holt, Ford",Hypertension,1,42,11138.90,11138.86,15
"Allen and Kelly Garrett,",Hypertension,1,59,38072.70,38072.72,25
"Allen and Moore Holmes,",Cancer,1,62,38385.70,38385.73,3
"Allen and Page Graves,",Diabetes,1,39,14911.50,14911.49,7
"Allen and Smith Tran,",Asthma,1,72,33969.20,33969.18,9
Allen and Sons,Asthma,1,21,42545.50,42545.47,12
Allen and Sons,Diabetes,2,84,38793.10,19396.56,24
"Allen and Taylor, Matthews",Asthma,1,80,8088.27,8088.27,30
"Allen and Valdez, Cantrell",Hypertension,1,55,3937.45,3937.45,10
"Allen and Warren Johnson,",Hypertension,1,83,17432.60,17432.58,14
"Allen and Wilson Rollins,",Hypertension,1,70,48564.90,48564.86,27
"Allen Baker, Ross and",Obesity,2,41,75603.80,37801.89,7
"Allen Black, and Collins",Diabetes,1,64,39325.20,39325.20,14
"Allen Campbell, and Hurst",Hypertension,1,56,1583.38,1583.38,2
"Allen Carney and Heath,",Diabetes,1,42,28848.30,28848.27,22
"Allen Castro and Hill,",Diabetes,1,37,30204.00,30204.03,5
"Allen Davis Todd, and",Hypertension,2,34,48202.40,24101.20,1
"Allen Decker Taylor, and",Obesity,1,62,42030.00,42029.96,16
"Allen Garcia and Wolf,",Asthma,1,28,25702.30,25702.30,30
"Allen Garcia, Johnson and",Asthma,1,44,9728.73,9728.73,1
"Allen Gonzales and Hill,",Obesity,1,21,45086.90,45086.93,4
Allen Group,Arthritis,4,50,109930.00,27482.47,16
Allen Group,Asthma,2,70,41446.10,20723.06,22
Allen Group,Cancer,1,54,47698.40,47698.37,9
Allen Group,Hypertension,3,40,97338.50,32446.16,14
"Allen Harrington Grant, and",Hypertension,1,54,22054.00,22053.98,23
"Allen Hurst, Gonzalez and",Diabetes,1,41,6640.90,6640.90,19
Allen Inc,Asthma,1,62,5598.05,5598.05,13
Allen Inc,Cancer,3,32,81226.00,27075.34,19
Allen Inc,Diabetes,2,69,55669.80,27834.90,17
Allen Inc,Obesity,2,74,65444.80,32722.40,22
"Allen Johnson, Meyers and",Asthma,1,25,38891.30,38891.29,17
Allen LLC,Arthritis,1,48,4793.23,4793.23,3
Allen LLC,Cancer,2,80,19721.00,9860.48,13
Allen LLC,Diabetes,2,30,27601.10,13800.56,12
Allen LLC,Hypertension,1,51,22986.50,22986.46,10
Allen Ltd,Asthma,1,56,4483.63,4483.63,9
Allen Ltd,Cancer,1,79,35266.20,35266.19,29
Allen Ltd,Diabetes,2,62,72779.30,36389.64,26
Allen Ltd,Hypertension,2,79,59047.90,29523.96,8
Allen Ltd,Obesity,2,53,51017.20,25508.61,17
"Allen Orr, and Frye",Cancer,1,54,27475.60,27475.62,28
"Allen Parker and Estes,",Cancer,1,45,12448.70,12448.69,7
"Allen Payne, Hamilton and",Arthritis,1,50,7555.25,7555.25,9
"Allen Pearson and Kaiser,",Diabetes,1,52,31478.80,31478.82,27
"Allen Pitts, Bryan and",Diabetes,1,40,44175.70,44175.66,11
Allen PLC,Cancer,1,76,23793.30,23793.29,12
Allen PLC,Diabetes,1,75,21110.80,21110.79,1
Allen PLC,Hypertension,4,40,71412.00,17853.00,27
Allen PLC,Obesity,3,60,85084.00,28361.32,7
"Allen Rodriguez, and Stewart",Cancer,2,66,46180.70,23090.35,28
Allen Sons and,Obesity,1,68,39697.60,39697.64,8
"Allen Sparks and Soto,",Arthritis,1,66,30406.90,30406.92,21
"Allen Stanley, Woods and",Cancer,1,51,10994.10,10994.08,12
"Allen Thompson, and Mcdonald",Obesity,1,72,49749.70,49749.74,13
"Allen Watson and Robinson,",Asthma,1,64,18144.50,18144.51,1
"Allen Watson Nguyen, and",Arthritis,2,74,35923.40,17961.68,8
"Allen, and Barnes Smith",Hypertension,1,73,42951.20,42951.17,7
"Allen, and Blackwell Taylor",Diabetes,2,59,55463.00,27731.52,1
"Allen, and Fischer Richardson",Cancer,1,35,16232.00,16231.99,11
"Allen, and Jackson Harrell",Hypertension,1,43,7773.54,7773.54,9
"Allen, and Jensen Hurley",Obesity,1,28,38867.00,38867.03,17
"Allen, and Parker Lynch",Arthritis,1,82,17078.00,17077.98,3
"Allen, and Rodriguez Randolph",Cancer,1,32,45226.40,45226.36,29
"Allen, and Velasquez Wilcox",Arthritis,1,50,10986.80,10986.84,18
"Allen, Cantu Orozco and",Arthritis,1,30,39835.70,39835.73,6
"Allen, Chaney Rice and",Hypertension,1,46,24874.80,24874.75,12
"Allen, Cross and Collins",Arthritis,2,64,79383.20,39691.60,14
"Allen, Davies and Mcintyre",Obesity,1,75,34613.00,34613.00,15
"Allen, Frank Moore and",Hypertension,1,53,34093.40,34093.45,5
"Allen, Harrell Schmidt and",Obesity,1,82,21085.70,21085.73,13
"Allen, Jackson and Brown",Hypertension,1,28,44860.00,44859.99,21
"Allen, Jackson and Walker",Asthma,1,48,14310.10,14310.08,28
"Allen, Jenkins Mcknight and",Cancer,1,37,4909.02,4909.02,23
"Allen, Johns and Holland",Obesity,1,57,19210.00,19210.03,28
"Allen, Johnson and Cooper",Diabetes,1,26,6242.87,6242.87,23
"Allen, Miller and Reed",Diabetes,1,74,28090.00,28090.03,1
"Allen, Quinn Mitchell and",Cancer,1,49,4360.80,4360.80,2
"Allen, Turner and Allen",Obesity,1,77,15023.30,15023.33,9
"Allen, Wall and Wade",Arthritis,1,22,2541.14,2541.14,3
"Allen, Williams and Phillips",Diabetes,1,36,26612.00,26612.01,2
Allison-Bailey,Obesity,1,60,34492.30,34492.31,2
Allison-Black,Obesity,1,19,39778.60,39778.59,4
Allison-Cameron,Asthma,1,30,38578.50,38578.54,5
Allison-Moore,Arthritis,1,47,35149.40,35149.38,8
Allison-Walters,Arthritis,1,77,15048.80,15048.83,12
Allison-Williams,Arthritis,1,60,33653.60,33653.65,28
Allison LLC,Arthritis,1,53,19510.80,19510.77,16
Allison LLC,Cancer,1,40,48296.90,48296.94,14
Allison Ltd,Asthma,1,58,37278.20,37278.25,25
Allison Ltd,Cancer,2,48,75519.10,37759.53,26
Allison PLC,Asthma,1,63,15593.00,15593.00,14
"Allison Price Williams, and",Asthma,1,57,49795.40,49795.37,16
"Allison Rodgers Sullivan, and",Arthritis,1,63,957.45,957.45,25
"Allison Strong and Nixon,",Arthritis,1,19,4812.02,4812.02,18
"Allison, and Cruz Moore",Obesity,1,45,35576.60,35576.59,5
Alvarado-Allen,Asthma,1,25,44921.30,44921.34,18
Alvarado-Bradley,Arthritis,1,38,44947.10,44947.06,10
Alvarado-Carroll,Diabetes,1,23,10142.30,10142.31,26
Alvarado-Deleon,Obesity,1,59,27385.70,27385.74,4
Alvarado-Delgado,Obesity,1,44,40686.90,40686.91,15
Alvarado-Elliott,Hypertension,1,76,8415.98,8415.98,3
Alvarado-Gonzalez,Asthma,1,28,3194.77,3194.77,17
Alvarado-Lopez,Diabetes,1,41,4762.56,4762.56,1
Alvarado-Martin,Hypertension,1,85,1077.17,1077.17,24
Alvarado-Meza,Obesity,1,67,34732.30,34732.28,22
Alvarado-Prince,Diabetes,1,22,27277.20,27277.20,2
Alvarado-Scott,Cancer,1,32,6742.94,6742.94,15
Alvarado-Smith,Obesity,1,61,41817.30,41817.31,6
"Alvarado and Myers Smith,",Arthritis,1,83,17138.90,17138.94,6
Alvarado Inc,Diabetes,2,37,37515.80,18757.91,15
Alvarado Inc,Obesity,1,31,39783.90,39783.91,14
Alvarado LLC,Arthritis,2,23,70125.60,35062.80,26
Alvarado LLC,Hypertension,2,55,81598.90,40799.46,8
Alvarado LLC,Obesity,1,30,4994.91,4994.91,24
"Alvarado Mcmahon and Guerra,",Cancer,1,47,4955.96,4955.96,6
Alvarado PLC,Asthma,1,44,43198.50,43198.53,8
Alvarado PLC,Obesity,2,69,49427.90,24713.96,10
"Alvarado Richard and Brown,",Hypertension,1,24,14949.40,14949.39,25
"Alvarado Sullivan Miller, and",Obesity,1,81,33378.60,33378.64,17
Alvarez-Blair,Obesity,1,35,6972.57,6972.57,7
Alvarez-Chavez,Diabetes,1,55,8498.36,8498.36,23
Alvarez-Craig,Arthritis,1,28,51293.40,51293.41,9
Alvarez-Cruz,Hypertension,1,79,42956.10,42956.13,13
Alvarez-Flynn,Arthritis,1,68,39123.40,39123.35,9
Alvarez-Griffith,Arthritis,1,70,8805.04,8805.04,17
Alvarez-Guerrero,Arthritis,2,81,66444.20,33222.09,13
Alvarez-Harris,Arthritis,1,70,35318.70,35318.70,4
Alvarez-Hays,Cancer,1,37,8066.74,8066.74,3
Alvarez-Henry,Hypertension,1,26,7612.78,7612.78,11
Alvarez-Martin,Cancer,1,18,19055.10,19055.09,11
Alvarez-Mathews,Asthma,1,81,13146.10,13146.07,23
Alvarez-Miranda,Cancer,1,85,18948.70,18948.66,17
Alvarez-Nunez,Cancer,1,80,32209.00,32208.96,15
Alvarez-Olson,Arthritis,1,78,13022.70,13022.69,11
Alvarez-Payne,Cancer,1,58,38992.30,38992.27,9
Alvarez-Perry,Arthritis,1,40,30035.00,30035.02,1
Alvarez-Quinn,Cancer,1,26,9205.77,9205.77,9
Alvarez-Robinson,Obesity,1,32,33055.70,33055.74,28
Alvarez-Rogers,Hypertension,1,23,46403.10,46403.07,16
Alvarez-Shelton,Hypertension,1,49,47945.50,47945.54,2
Alvarez-Smith,Cancer,1,56,12684.20,12684.25,13
Alvarez-Smith,Diabetes,3,68,76374.80,25458.26,7
Alvarez-Smith,Hypertension,1,24,36462.10,36462.06,12
Alvarez-Valentine,Hypertension,1,54,27106.00,27106.00,22
Alvarez-Vargas,Diabetes,2,43,97829.30,48914.64,16
Alvarez-Young,Hypertension,1,53,8213.78,8213.78,27
Alvarez-Zamora,Diabetes,1,75,17938.90,17938.89,22
"Alvarez and James, Mcintosh",Obesity,1,48,36345.60,36345.63,6
"Alvarez and Mullins, Barajas",Hypertension,1,70,6116.05,6116.05,5
"Alvarez and Sanchez Taylor,",Diabetes,1,55,43664.10,43664.11,18
"Alvarez and York Rocha,",Obesity,1,67,14366.80,14366.76,27
"Alvarez Austin Snyder, and",Hypertension,1,74,21513.50,21513.53,26
"Alvarez Clark, and Francis",Asthma,1,53,29586.00,29585.99,11
"Alvarez Garcia, and Watkins",Diabetes,1,23,39214.30,39214.32,3
Alvarez Group,Arthritis,1,24,4478.59,4478.59,23
Alvarez Group,Obesity,1,44,43728.60,43728.55,21
"Alvarez Hayes Guzman, and",Asthma,1,52,7221.30,7221.30,17
Alvarez Inc,Cancer,1,32,45577.60,45577.57,10
Alvarez LLC,Diabetes,2,69,61653.00,30826.49,8
Alvarez Ltd,Arthritis,1,42,36039.70,36039.66,20
Alvarez Ltd,Cancer,3,74,116307.00,38768.84,12
Alvarez Ltd,Hypertension,4,69,135952.00,33988.09,17
"Alvarez Maldonado, and Oconnor",Cancer,1,49,44408.90,44408.95,17
"Alvarez Moss Smith, and",Cancer,2,68,70526.80,35263.41,30
Alvarez PLC,Diabetes,2,46,59976.70,29988.35,14
Alvarez Sons and,Arthritis,1,36,36378.30,36378.26,10
"Alvarez Wilson and Fry,",Diabetes,2,66,34318.80,17159.42,2
"Alvarez, and Lewis Jennings",Cancer,1,67,9298.59,9298.59,2
"Alvarez, Rogers and Kennedy",Cancer,1,84,37845.40,37845.38,16
"Alvarez, Ross and Hurst",Hypertension,1,26,34858.40,34858.40,30
"Alvarez, Vasquez and Price",Asthma,1,74,17200.40,17200.39,7
"and Abbott Campbell Palmer,",Diabetes,1,28,171.90,171.90,21
"and Abbott Gross, Anderson",Hypertension,1,64,9892.25,9892.25,26
"and Acevedo, James Ho",Cancer,1,85,25428.30,25428.30,1
"and Acosta, George Silva",Diabetes,1,84,27583.90,27583.87,22
"and Adams Bautista, Roberts",Diabetes,2,41,77367.70,38683.85,9
"and Adams Brown, Fuller",Diabetes,1,29,11235.20,11235.25,16
"and Adams Brown, Love",Hypertension,1,57,45137.00,45136.98,19
"and Adams Chavez Camacho,",Asthma,1,35,5031.08,5031.08,4
"and Adams Cole, Payne",Obesity,1,19,48016.30,48016.34,25
"and Adams Figueroa, Edwards",Obesity,1,72,10233.20,10233.22,24
"and Adams Hunt Bennett,",Hypertension,1,49,41157.20,41157.18,22
"and Adams Martin, Sosa",Cancer,1,21,28569.30,28569.29,17
"and Adams Martin, Thomas",Hypertension,1,81,22654.80,22654.84,15
"and Adams Morgan Livingston,",Cancer,1,69,16560.50,16560.50,2
"and Adams Orr Jones,",Obesity,1,77,41703.90,41703.87,25
"and Adams Reilly, Taylor",Obesity,1,68,22133.60,22133.58,19
"and Adams Rodriguez Hill,",Hypertension,2,30,58283.50,29141.76,24
"and Adams Russo, Sexton",Obesity,1,31,17631.80,17631.81,11
and Adams Sons,Asthma,1,21,33170.90,33170.88,1
and Adams Sons,Cancer,1,29,33579.40,33579.41,9
and Adams Sons,Diabetes,1,81,6061.46,6061.46,22
"and Adams Walls Knight,",Hypertension,1,77,11717.10,11717.07,8
"and Adams, Black Villegas",Diabetes,1,59,16631.90,16631.91,24
"and Adams, Booker Buckley",Arthritis,1,23,27604.70,27604.74,16
"and Adams, Evans Hill",Asthma,1,72,8702.18,8702.18,16
"and Adams, Graham Higgins",Asthma,1,42,3703.37,3703.37,20
"and Adams, Harris Kennedy",Asthma,1,56,27498.00,27498.03,10
"and Adams, Johns Duncan",Diabetes,1,60,25806.30,25806.34,7
"and Adams, Johnston Brock",Diabetes,1,59,29314.00,29313.98,4
"and Adams, Martin Franklin",Arthritis,1,84,4760.29,4760.29,22
"and Adams, Patton Carter",Hypertension,1,67,43656.60,43656.57,15
"and Adams, Perry Fitzpatrick",Asthma,2,67,53759.20,26879.59,4
"and Adams, Smith Gonzalez",Cancer,1,45,26036.30,26036.30,25
"and Adkins Bolton Manning,",Arthritis,1,20,48639.10,48639.10,27
"and Adkins Porter, Benton",Cancer,1,38,42764.80,42764.84,6
"and Adkins Woods, Lowery",Cancer,1,20,23441.10,23441.08,25
"and Aguilar Carney, Cohen",Obesity,1,73,40685.20,40685.18,30
and Aguilar Sons,Arthritis,2,22,47100.30,23550.16,17
and Aguilar Sons,Obesity,1,40,45586.50,45586.50,20
"and Aguirre Smith Williams,",Diabetes,1,79,46024.80,46024.80,7
and Aguirre Sons,Obesity,1,68,17949.80,17949.80,4
"and Alexander Crawford Graham,",Cancer,1,36,27507.00,27507.04,10
"and Alexander Espinoza Stone,",Obesity,1,76,5953.11,5953.11,28
"and Alexander Ferguson Munoz,",Cancer,1,78,9080.71,9080.71,11
"and Alexander Hall Powers,",Obesity,1,68,19762.00,19761.97,1
"and Alexander Hanson Johnson,",Arthritis,1,77,33220.60,33220.63,25
"and Alexander Hunter, Thompson",Cancer,1,84,22709.90,22709.86,9
"and Alexander Knight Smith,",Obesity,1,38,40495.10,40495.08,15
"and Alexander Mullins, Hampton",Hypertension,1,76,45106.50,45106.49,3
"and Alexander Wilkins, Baker",Arthritis,1,71,46235.70,46235.73,2
"and Ali Snyder Hughes,",Arthritis,2,80,57694.20,28847.11,7
"and Allen Anderson, Rivera",Cancer,1,50,23698.70,23698.71,30
"and Allen Bryant Carlson,",Arthritis,2,50,55715.00,27857.48,7
"and Allen Conley Rhodes,",Obesity,1,22,10749.80,10749.77,15
"and Allen James Wolf,",Obesity,1,21,47946.30,47946.31,25
"and Allen Jennings, Branch",Arthritis,1,18,46670.50,46670.46,12
"and Allen Mitchell, Soto",Cancer,1,27,41129.80,41129.80,27
"and Allen Reeves, Gross",Arthritis,1,38,35543.40,35543.37,22
and Allen Sons,Asthma,1,85,31427.50,31427.47,25
"and Allen Torres, Rice",Cancer,1,38,36106.90,36106.95,1
"and Allen Wright Ward,",Asthma,1,55,40904.80,40904.84,9
"and Allen, Baker Castro",Cancer,1,38,15575.50,15575.50,15
"and Allen, Davis Phillips",Asthma,1,32,27561.30,27561.30,29
"and Allen, Gonzales Johnston",Cancer,1,35,38629.20,38629.22,11
"and Allen, Jenkins Robinson",Arthritis,1,60,8073.09,8073.09,5
"and Allen, Porter Edwards",Asthma,1,84,22427.10,22427.08,18
"and Allen, Roberts Evans",Arthritis,1,76,2606.94,2606.94,7
"and Allen, Taylor Bennett",Cancer,1,85,14843.20,14843.25,30
"and Allen, Zavala Collins",Obesity,1,40,12926.70,12926.66,11
"and Alvarado Grant May,",Obesity,1,26,26040.20,26040.25,2
"and Alvarado Thomas Acosta,",Hypertension,1,48,49598.60,49598.63,14
"and Alvarado, Nelson Wright",Cancer,1,68,8635.21,8635.21,15
"and Alvarez Banks, Munoz",Asthma,2,61,39848.30,19924.13,3
"and Alvarez Gilmore Wheeler,",Asthma,1,52,4448.51,4448.51,16
"and Alvarez Jennings Roberts,",Arthritis,1,30,2714.49,2714.49,19
"and Alvarez Johnson, Nguyen",Arthritis,2,64,39514.40,19757.20,19
"and Alvarez Lee Gay,",Obesity,1,42,20820.20,20820.17,8
and Alvarez Sons,Diabetes,1,58,40573.00,40573.01,1
and Alvarez Sons,Hypertension,2,45,11252.40,5626.20,21
and Alvarez Sons,Obesity,1,36,26366.60,26366.59,24
"and Alvarez Stevens Cox,",Diabetes,1,56,31086.40,31086.39,23
"and Alvarez Torres Osborn,",Cancer,1,48,28311.40,28311.36,17
"and Alvarez Tran, Ortiz",Hypertension,1,68,6182.35,6182.35,23
"and Alvarez, Choi Jackson",Arthritis,1,21,9230.72,9230.72,3
"and Alvarez, Cox Powers",Arthritis,1,64,392.91,392.91,12
"and Alvarez, Perkins Russell",Hypertension,1,70,38147.80,38147.80,14
"and Andersen Edwards, Martinez",Cancer,1,45,27711.40,27711.40,11
"and Andersen Miller Jones,",Hypertension,1,23,36698.90,36698.95,7
"and Andersen Strickland Ingram,",Hypertension,1,82,37358.10,37358.11,21
"and Andersen, Molina Garcia",Cancer,1,20,44260.00,44260.00,19
"and Anderson Boyd Bennett,",Obesity,1,46,1089.34,1089.34,27
"and Anderson Boyd, Hardy",Asthma,1,69,38145.30,38145.32,12
"and Anderson Donaldson Aguilar,",Hypertension,1,82,45877.60,45877.55,15
"and Anderson Flowers, Tucker",Cancer,1,30,6596.19,6596.19,22
"and Anderson Gentry, Esparza",Diabetes,1,81,32219.60,32219.64,8
"and Anderson Gonzalez, Waters",Arthritis,1,68,32799.40,32799.36,24
"and Anderson Hartman Flores,",Arthritis,1,27,36170.80,36170.79,25
"and Anderson Irwin Whitney,",Cancer,1,49,10954.60,10954.57,30
"and Anderson Kennedy, Owens",Obesity,1,55,44961.50,44961.46,20
"and Anderson Lindsey Burgess,",Arthritis,1,45,11913.90,11913.92,18
"and Anderson Lopez, Mitchell",Hypertension,1,73,8771.65,8771.65,21
"and Anderson Mendez, Ortiz",Arthritis,1,44,11702.70,11702.70,8
"and Anderson Middleton, King",Obesity,1,53,9854.75,9854.75,19
"and Anderson Nichols Whitaker,",Hypertension,1,80,25334.90,25334.94,5
"and Anderson Smith Sanchez,",Cancer,1,20,40598.40,40598.42,25
and Anderson Sons,Diabetes,1,27,45658.40,45658.37,6
and Anderson Sons,Obesity,2,42,35538.10,17769.05,8
"and Anderson Turner Henderson,",Hypertension,1,45,48346.90,48346.86,30
"and Anderson Williams Harrison,",Asthma,1,81,44514.90,44514.94,2
"and Anderson, Berry Franklin",Diabetes,1,45,21899.50,21899.50,22
"and Anderson, Huff Ford",Asthma,1,46,40646.40,40646.35,6
"and Anderson, Hull Simon",Obesity,1,78,37355.80,37355.76,21
"and Anderson, Porter Becker",Arthritis,1,51,39448.90,39448.89,24
"and Anderson, Richards Benson",Hypertension,1,35,469.53,469.53,14
"and Anderson, Scott Nelson",Hypertension,1,35,44409.90,44409.94,5
"and Anderson, Smith Carr",Arthritis,1,73,26448.20,26448.17,17
"and Anderson, Smith Woods",Obesity,1,61,13067.20,13067.20,6
"and Anderson, Stephens Rowe",Arthritis,2,46,44453.10,22226.54,4
"and Anderson, Woods Woods",Obesity,1,53,2421.98,2421.98,24
"and Andrews Cole, Garcia",Cancer,2,82,22670.60,11335.31,25
"and Andrews Miranda Watson,",Asthma,1,37,4786.78,4786.78,27
"and Andrews, Armstrong Padilla",Arthritis,1,24,19862.20,19862.16,8
"and Andrews, Flores Brady",Obesity,1,36,32201.10,32201.08,17
"and Anthony Hays Medina,",Hypertension,1,79,48991.90,48991.87,21
"and Anthony Nelson, Griffith",Obesity,1,71,47764.50,47764.51,30
"and Anthony, Valdez Tapia",Obesity,1,71,43526.00,43526.02,13
"and Arellano Anderson, Bruce",Cancer,1,21,21280.80,21280.76,28
"and Arellano Parks Meyer,",Asthma,2,76,25446.60,12723.31,12
"and Arellano, Caldwell Mathis",Obesity,1,37,16696.40,16696.43,16
"and Arellano, Gill Jackson",Asthma,1,52,36523.20,36523.16,3
"and Arias, Hogan May",Diabetes,1,28,23336.30,23336.26,3
"and Armstrong Ayers, Horne",Cancer,2,63,78107.10,39053.56,10
"and Armstrong Johnson, Foster",Cancer,1,67,3492.21,3492.21,21
and Armstrong Sons,Asthma,1,18,11979.60,11979.62,23
"and Armstrong, Blair Zimmerman",Asthma,1,25,18466.90,18466.86,4
"and Armstrong, Taylor Burns",Obesity,1,70,38755.90,38755.95,30
"and Arnold Anderson, White",Asthma,1,43,42453.40,42453.38,25
"and Arnold Johnson Mccullough,",Asthma,1,68,25705.00,25704.99,26
"and Arnold Johnson, Edwards",Hypertension,1,33,42752.20,42752.18,16
"and Arnold Meadows, Rivas",Obesity,1,47,4268.80,4268.80,19
"and Arnold Morales, Gonzales",Asthma,1,39,42374.60,42374.56,11
and Arnold Sons,Asthma,2,51,65812.30,32906.17,15
"and Arnold Watkins Fleming,",Hypertension,1,20,10835.10,10835.09,30
"and Arnold, Phillips Fox",Hypertension,1,56,48688.10,48688.15,25
"and Ashley Decker, Hays",Arthritis,1,62,6108.55,6108.55,18
"and Ashley Washington, Neal",Asthma,1,82,22450.90,22450.86,3
"and Atkins Barnes, Hall",Hypertension,1,59,24412.90,24412.93,20
"and Atkins Hayden Hopkins,",Arthritis,1,56,22084.10,22084.08,21
"and Atkins Mcintosh, Sanders",Cancer,1,72,3735.71,3735.71,8
and Atkins Sons,Hypertension,1,42,45574.80,45574.81,20
"and Atkins, Kelly Torres",Obesity,1,46,16360.50,16360.53,25
"and Atkinson Blevins, Stevens",Obesity,1,64,36914.80,36914.84,6
"and Atkinson Hanson Henry,",Obesity,1,43,18621.20,18621.24,30
"and Atkinson Perez, Allen",Arthritis,1,59,17486.90,17486.93,24
"and Atkinson Wilson, Torres",Obesity,1,58,9195.50,9195.50,30
and Austin Sons,Arthritis,1,47,25543.60,25543.56,16
and Austin Sons,Obesity,1,56,18175.50,18175.47,6
"and Avery, Jarvis Hopkins",Arthritis,1,76,32064.40,32064.42,4
"and Avila Johnson Wood,",Obesity,1,64,22961.90,22961.86,13
"and Avila, Moss Caldwell",Arthritis,1,21,9713.91,9713.91,19
"and Avila, Oconnor Brown",Arthritis,1,49,42387.80,42387.75,28
"and Ayala Miller, Wilson",Hypertension,1,27,40240.30,40240.31,28
"and Ayers King, Smith",Asthma,2,58,69194.80,34597.39,20
"and Ayers Swanson, Greer",Diabetes,1,85,11599.20,11599.16,13
"and Ayers, Vazquez Rivers",Hypertension,1,37,46925.40,46925.37,28
"and Bailey Barnes Vasquez,",Cancer,1,37,47613.30,47613.32,7
"and Bailey Dickerson Dalton,",Hypertension,1,22,5814.75,5814.75,16
"and Bailey Douglas Davis,",Cancer,1,63,44963.20,44963.21,12
"and Bailey Garcia Spencer,",Diabetes,1,43,15686.40,15686.43,30
"and Bailey Jones Robinson,",Diabetes,1,31,7938.59,7938.59,26
"and Bailey Kennedy, Morales",Hypertension,1,61,11762.60,11762.64,4
"and Bailey Martin, Graham",Asthma,1,21,48412.50,48412.54,12
"and Bailey Martin, Smith",Cancer,1,19,5916.66,5916.66,30
"and Bailey Meza, Jones",Hypertension,1,52,39318.30,39318.32,22
"and Bailey Munoz, Hernandez",Hypertension,2,45,86116.40,43058.19,18
"and Bailey Phillips, Wright",Obesity,1,27,5923.90,5923.90,24
"and Bailey Ramos, Webster",Cancer,1,45,42095.60,42095.55,3
"and Bailey Sawyer, Weiss",Obesity,1,81,4508.97,4508.97,6
"and Bailey Shea, Krause",Diabetes,1,31,24514.60,24514.60,21
"and Bailey Thompson, Jacobs",Arthritis,1,19,33263.10,33263.06,25
"and Bailey Williams Melton,",Hypertension,1,64,40367.90,40367.90,19
"and Bailey, Baker Lewis",Cancer,1,75,20145.00,20145.03,10
"and Bailey, Martinez Cook",Asthma,1,73,23301.00,23301.04,8
"and Baird, Simmons Peters",Asthma,1,33,37629.00,37629.03,19
"and Baker Burns, Mccarthy",Hypertension,1,80,13469.70,13469.66,17
"and Baker Davis, Brooks",Arthritis,1,18,6856.32,6856.32,18
"and Baker Donovan Sherman,",Hypertension,1,78,10892.70,10892.72,15
"and Baker Jones, Wilson",Hypertension,1,19,35949.10,35949.12,10
"and Baker Kennedy Fuentes,",Hypertension,1,50,35319.90,35319.94,3
"and Baker Rodriguez, Cameron",Hypertension,1,81,17339.80,17339.84,18
"and Baker Salazar, Gonzalez",Cancer,1,32,33064.10,33064.08,8
and Baker Sons,Arthritis,1,42,49893.90,49893.87,28
and Baker Sons,Hypertension,1,65,28498.30,28498.26,27
"and Baker, Anderson Powell",Arthritis,1,50,10730.40,10730.44,16
"and Baker, Combs Hill",Diabetes,1,20,11383.20,11383.20,27
"and Baker, Elliott Olson",Obesity,1,63,40736.00,40735.98,23
"and Baker, Golden Rhodes",Hypertension,1,63,23052.20,23052.21,11
"and Baker, Thompson Shelton",Asthma,1,70,19875.20,19875.17,9
"and Baldwin Lopez, Stewart",Obesity,1,71,42425.90,42425.93,29
"and Baldwin Mcneil, Simmons",Cancer,1,49,42672.10,42672.09,11
"and Baldwin Walker, Campbell",Arthritis,1,39,49299.60,49299.55,13
"and Baldwin, King Stephens",Diabetes,1,64,10941.90,10941.87,14
"and Baldwin, Wheeler Burns",Diabetes,2,24,31397.70,15698.86,16
"and Ball Aguilar, Norton",Hypertension,1,50,27375.20,27375.25,9
